 GW30948_IN	GW30948_OS	GW30948_OUT	GW30951_IN	GW30951_OS	GW30951_OUT	GW30956_IN	GW30956_OS	GW30956_OUT	GW30957_IN	GW30957_OS	GW30957_OUT	GW30959_IN	GW30959_OS	GW30959_OUT
scig1.0067834	9	20	3	77	13	119	24	9	67	48	48	48	23	9	27
scig1.0067744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067631	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
scig1.0067617	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
scig1.0067615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067372	10	95	18	682	250	1593	231	278	683	191	210	229	136	231	120
scig1.0067370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067082	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
scig1.0067076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066847	1	2	0	66	26	140	69	0	52	109	0	111	37	26	15
scig1.0066719	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
scig1.0066645	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0066639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066585	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
scig1.0066550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066509	3	5	2	10	7	26	8	9	3	3	3	5	3	1	5
scig1.0066244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066121	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
scig1.0065871	0	0	0	0	1	1	1	0	2	0	0	0	1	1	1
scig1.0065767	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0
scig1.0065719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0065673	0	1	1	6	4	5	1	1	1	0	4	2	4	0	0
scig1.0065628	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
scig1.0065598	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1
scig1.0065533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0065492	1	0	0	1	2	0	0	0	0	1	0	0	0	0	2
scig1.0065430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0065392	32	154	11	65	97	106	40	107	33	25	52	40	25	16	14
scig1.0065267	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
scig1.0065245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0065095	30	11	9	48	26	47	35	26	43	23	30	15	22	12	23
scig1.0065056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0065020	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064887	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
scig1.0064805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064695	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
scig1.0064681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064671	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0
scig1.0064653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064389	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1
scig1.0064249	823	422	284	1239	705	2840	1051	726	1259	761	583	950	663	574	563
scig1.0064226	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
scig1.0064219	0	1	0	15	36	38	9	45	12	12	60	22	10	33	3
scig1.0064197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064161	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
scig1.0064056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064005	0	0	0	2	1	1	0	0	0	1	1	0	0	0	0
scig1.0063982	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
scig1.0063880	0	0	0	1	3	0	1	0	0	0	0	0	0	0	1
scig1.0063727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
